攔	laan4
路	lou6
雨	jyu5
偏	pin1
似	ci5
雪	syut3
花	faa1
飲	jam2
泣	jap1
的	dik1
你	nei5
凍	dung3
嗎	maa1
這	ze5
風	fung1
褸	leoi5/lau1
我	ngo5
給	kap1
你	nei5
磨	mo4
到	dou3
有	jau5
襟	kam1
花	faa1
連	lin4
掉	diu6
了	liu5
跡	zik1
也	jaa5
不	bat1
怕	paa3
怎	zam2
麼	mo1
始	ci2
終	zung1
牽	hin1
掛	gwaa3
苦	fu2
心	sam1
選	syun2
中	zung1
今	gam1
天	tin1
想	soeng2
車	ce1/geoi1
你	nei5
回	wui4
家	gaa1
原	jyun4
諒	loeng6
我	ngo5
不	bat1
再	zoi3
送	sung3
花	faa1
傷	soeng1
口	hau2
應	jing13
要	jiu3
結	git3
疤	baa1
花	faa1
瓣	faan6
鋪	pou1
滿	mun5
心	sam1
裡	leoi5
墳	fan4
場	coeng4
才	coi4
害	hoi6
怕	paa3
如	jyu4
若	joek6
你	nei5
非	fei1
我	ngo5
不	bat1
嫁	gaa3
彼	bei2
此	ci2
終	zung1
必	bit1
火	fo2
化	faa3
一	jat1
生	sang1/saang1
一	jat1
世	sai3
等	dang2
一	jat1
天	tin1
需	seoi1
要	jiu3
代	doi6
價	gaa3
誰	seoi4
都	dou1
只	zi2
得	dak1
那	naa5
雙	soeng1
手	sau2
靠	kaau3
擁	jung2
抱	pou5
亦	jik6
難	naan4/naan6
任	jam6
你	nei5
擁	jung2
有	jau5
要	jiu3
擁	jung2
有	jau5
必	bit1
先	sin1
懂	dung2
失	sat1
去	heoi3
怎	zam2
接	zip3
受	sau6
曾	cang4
沿	jyun4
著	zoek6/
雪	syut3
路	lou6
浪	long6
遊	jau4
為	wai46
何	ho4
為	wai46
好	hou2
事	si6
淚	leoi6
流	lau4
誰	seoi4
能	nang4
憑	pang4
愛	oi3
意	ji3
要	jiu3
富	fu3
士	si6
山	saan1
私	si1
有	jau5
何	ho4
不	bat1
把	baa2
悲	bei1
哀	oi1
感	gam2
覺	gok3/gaau3
假	gaa2/gaa3
設	cit3
是	si6
來	loi4
自	zi6
你	nei5
虛	heoi1
構	kau3/gau3
試	si3
管	gun2
裡	leoi5
找	zaau2
不	bat1
到	dou3
它	taa1
染	jim5
污	wu1
眼	ngaan5
眸	mau4
前	cin4
塵	can4
硬	ngaang6
化	faa3
像	zoeng6
石	sek6
頭	tau4
隨	ceoi4
緣	jyun4
地	dei6
拋	paau1
下	haa6
便	bin6
逃	tou4
走	zau2
我	ngo5
絕	zyut6
不	bat1
罕	hon2
有	jau5
往	wong5
街	gaai1
裡	leoi5
繞	jiu2/jiu5
過	gwo3
一	jat1
周	zau1
我	ngo5
便	bin6
化	faa3
烏	wu1
有	jau5
情	cing4
人	jan4
節	zit3
不	bat1
要	jiu3
說	syut3
穿	cyun1
只	zi2
敢	gam2
撫	fu2
你	nei5
髮	faat3
端	dyun1
這	ze5
種	zung2
姿	zi1
態	taai3
可	ho2
會	wui
令	ling6
你	nei5
更	gang13
心	sam1
酸	syun1
留	lau4
在	zoi6
汽	hei3
車	ce1/geoi1
裡	leoi5
取	ceoi2
暖	nyun5
應	jing13
該	goi1
怎	zam2
麼	mo1
規	kwai1
勸	hyun3
怎	zam2
麼	mo1
可	ho2
以	ji5
將	zoeng1
手	sau2
腕	wun2
忍	jan2
痛	tung3
劃	waak6
損	syun2
人	jan4
活	wut6
到	dou3
幾	gei2
歲	seoi3
算	syun3
短	dyun2
失	sat1
戀	lyun2
只	zi2
有	jau5
更	gang13
短	dyun2
歸	gwai1
家	gaa1
需	seoi1
要	jiu3
幾	gei2
里	lei5
路	lou6
誰	seoi4
能	nang4
預	jyu6
算	syun3
忘	mong4
掉	diu6
我	ngo5
跟	gan1
你	nei5
恩	jan1
怨	jyun3
櫻	jing1
花	faa1
開	hoi1
了	liu5
幾	gei2
轉	zyun2/zyun3
東	dung1
京	ging1
之	zi1
旅	leoi5
一	jat1
早	zou2
比	bei2
一	jat1
世	sai3
遙	jiu4
遠	jyun5
你	nei5
還	waan4
嫌	jim4
不	bat1
夠	gau3
我	ngo5
把	baa2
這	ze5
陳	can4
年	nin4
風	fung1
褸	leoi5/lau1
送	sung3
贈	zang6
你	nei5
解	gaai2
咒	zau3
